id,created_at,text
872478774239125504,2017-06-07 15:42:04,So awesome meeting with Summit Middle School students on their DC visit! And great introducing them to @SenFranken.… https://t.co/Phmv5rPsq8
872468454196031491,2017-06-07 15:01:03,@AndyBerke It was such a pleasure to meet them! They represented their great state well... and their parents.
872464621868896257,2017-06-07 14:45:50,RT @RonWyden: Privatization is not an infrastructure plan and the White House shouldn’t be treated like a reality TV show https://t.co/RAyB…
872464403001729024,2017-06-07 14:44:57,RT @RonWyden: Retweet if you care about @realDonaldTrump's tax returns
872462055068102656,2017-06-07 14:35:38,"RT @davidfrum: Searching my memory, cannot recall any president ever before organizing an attack like this on a congressional witness https…"
872461907709579266,2017-06-07 14:35:03,Such a deportation would be a gross and unacceptable violation of our values. https://t.co/kMlqlajPeK
872459421577863168,2017-06-07 14:25:10,RT @NAACP_LDF: A racialized standard of ‘future dangerousness’ has been used to condemn defendants.@ChristinaSwarns fought it. https://t.co…
872457289076264961,2017-06-07 14:16:41,RT @mattmfm: It's good to see Republicans and Democrats finally agree that only the Democratic Party will fight for a livable wage for all…
872454487381856256,2017-06-07 14:05:33,Often what you say about others reveals far more about you than it does those you criticize. https://t.co/wYNYsMjBWw
872454232162611202,2017-06-07 14:04:33,"When the truth comes out (and it will) &amp; if the president has committed crimes, we (the people) will fight and win… https://t.co/HbWBgO233K"
872453500369850370,2017-06-07 14:01:38,RT @JuddLegum: 1. Appears that Eric Trump blatantly lied to @Fahrenthold to avoid a bad story during the campaign https://t.co/AGsYl9SJUt
872179885611110400,2017-06-06 19:54:23,"RT @CoryBooker: New Jersey, today is voting day. Let your voice be heard. #ElectionDay"
872061788145233920,2017-06-06 12:05:07,"New Jersey, today is voting day. Let your voice be heard. #ElectionDay"
872061339749027840,2017-06-06 12:03:20,RT @RepJoshG: .@CoryBooker and I are Live working to get the lead out of school drinking water. Watch us in Hackensack at https://t.co/vKKa…
871825731298439168,2017-06-05 20:27:06,"RT @funder: Donald Trump's Many, Many, Many, Many, Many, Many, Many, Many, Many, Many, Many, Many, Many, Many Ties to Russia

https://t.co/…"
871824653462982656,2017-06-05 20:22:49,"Tomorrow is Election Day in NJ. Please come out and vote; let your voice be heard. 

As for me, I am voting for Phi… https://t.co/EYOwsaJDTr"
871702201131053056,2017-06-05 12:16:14,"As Russian aggression is increasing around our European allies, this only encourages them in their hybrid war hosti… https://t.co/RlGA2naLtH"
871697112383336449,2017-06-05 11:56:01,"The man who said we would get tired of winning, just gave advantage to the Chinese. https://t.co/k7IyAuCLRw"
871536212535914496,2017-06-05 01:16:40,"So great to see the Wonder Woman, directed and lead by women, with my mom who directed and led me in my life. https://t.co/eX6CeszFAb"
871520479525216256,2017-06-05 00:14:09,RT @WangCecillia: We need to be outraged when the president exploits a terrible violent crime to push his discriminatory and illegal policy…
871441978952736768,2017-06-04 19:02:13,Today in Asbury Park celebrating LGBTQ Pride. Proud to walk with the amazing Christian Fuscarino Executive Director… https://t.co/6zzH7X6r5M
871413427717189638,2017-06-04 17:08:45,This is costing US jobs. Yet another case where President Trump is wracking up a loss and not a win for America. https://t.co/FVWdo70NaF
871412350087311360,2017-06-04 17:04:28,A very good and important podcast. https://t.co/9BLN9gSsO8
871321419040395265,2017-06-04 11:03:09,"RT @HilaryMatfess: Right, because the best way to reduce abortion and improve women's health is to reduce access to birth control. https://…"
871318730705338368,2017-06-04 10:52:28,RT @HilaryMatfess: Meet the Evangelicals Who Secretly Use Planned Parenthood https://t.co/FaJ66mWyZO via @MarieClaire
871314520786038784,2017-06-04 10:35:44,RT @HilaryMatfess: Children strapped with explosives kill nine in north Cameroon https://t.co/fP7MxLyQHU via @Reuters
871143759878262784,2017-06-03 23:17:12,"RT @MarkSZaidEsq: ""Simply made up"". Unbelievable how easy it is to say that. And sad. https://t.co/6PaEXXa1Pj"
871143681213988869,2017-06-03 23:16:53,RT @RyanLizza: Worth your 90 seconds https://t.co/RGLcTHJYXz
871066522386665472,2017-06-03 18:10:17,RT @deray: I love my blackness. And yours.
871065605113344006,2017-06-03 18:06:38,"RT @SarahLerner: ""Alexis Frank, a 26-year-old political novice, never considered vying for Congress — until she saw Hillary lose."" https://…"
871065466852315136,2017-06-03 18:06:05,"RT @DanMalloyCT: In the absence of leadership from the White House in addressing climate change, it is incumbent upon the states to take ac…"
871029394378285056,2017-06-03 15:42:45,@EnebongEphraim @bvezos I've spent months attacking this adminstration for their ills. Anyone can pull the multiple videos on this.
871025328600363008,2017-06-03 15:26:35,@bvezos You are a good person and righteous soul. Clearly you didn't listen to my interview or follow my activism a… https://t.co/97LjAVfBJQ
871025022403579907,2017-06-03 15:25:22,@anapazprado You clearly didn't actually listen to my interciew and are wildly mistaken about my work against this Adminstration.
871023882416910336,2017-06-03 15:20:51,@Pena_Law You are a good &amp; righteous activist. It is sad  if you actually believe what u just wrote. Clearly u know… https://t.co/Aecqo3Vy9I
871021171977965568,2017-06-03 15:10:04,"Spent the morning at home in my neighborhood park in Newark built by the will of defiant, grassroots environmentali… https://t.co/kcvondFjCr"
870971257864560640,2017-06-03 11:51:44,@Bexmich Hope u'll actually listen to my interview on the subject. I'm confident our positions aren't that differen… https://t.co/ti6wBQbIuU
870961895192371200,2017-06-03 11:14:32,This article is deeply disappointing. This kind of intolerance does not advance justice it undermines it.  https://t.co/rDi7tRzciB
870957561968820224,2017-06-03 10:57:19,@panininef @ghelmy I didn't. Don't read internet reports. Go to the actual interview and see my criticisms.
870811002413215744,2017-06-03 01:14:56,So much gratitude to my staff who work very long hours in service of our state. Here I am in the care with my NJ st… https://t.co/FY5P9ZuDDX
870809672474923009,2017-06-03 01:09:39,"@CentauressWeezy Yes, if you follow me you know that I have been speaking about and fighting for all 3 for quite a while."
870785378260852740,2017-06-02 23:33:07,RT @businessinsider: CORY BOOKER: Russia is trying to ‘undermine democracy’ around the world — @RFERL https://t.co/c2eiON1s64 https://t.co/…
870785152728870912,2017-06-02 23:32:13,RT @YelchenkoUN: Interview: U.S. Senator Booker Says Russia Trying to Destabilize Democracies Globally https://t.co/ibsAWNyVLy
870784926035083265,2017-06-02 23:31:19,RT @ErinSchrode: Today isn't an end of US leadership on global climate issues—instead a rallying cry to double down in this urgent fight. @…
