source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,8.70E+17,It was an honor to welcome the Prime Minister of Vietnam Nguy?n Xuân Phúc to the @WhiteHouse this afternoon. https://t.co/6YbrIvJUCY,Wed May 31 21:52:54 +0000 2017,806,,3703,FALSE
Twitter Ads,8.70E+17,We traveled the world to strengthen long-standing alliances and to form new partnerships. See more at:… https://t.co/FT4kyPoAl0,Wed May 31 20:04:45 +0000 2017,4858,,20088,FALSE
Twitter for iPhone,8.70E+17,I will be announcing my decision on the Paris Accord over the next few days. MAKE AMERICA GREAT AGAIN!,Wed May 31 13:08:41 +0000 2017,11601,,54464,FALSE
Twitter for iPhone,8.70E+17,Hopefully Republican Senators good people all can quickly get together and pass a new (repeal &amp; replace) HEALTHCARE bill. Add saved $'s.,Wed May 31 13:05:14 +0000 2017,9396,,44809,FALSE
Twitter for iPhone,8.70E+17,Kathy Griffin should be ashamed of herself. My children especially my 11 year old son Barron are having a hard time with this. Sick!,Wed May 31 11:14:48 +0000 2017,43429,,146212,FALSE
Twitter for iPhone,8.70E+17,"...case against him &amp; now wants to clear his name by showing ""the false or misleading testimony by James Comey John Brennan..."" Witch Hunt!",Wed May 31 10:45:27 +0000 2017,11116,,45269,FALSE
Twitter for iPhone,8.70E+17,So now it is reported that the Democrats who have excoriated Carter Page about Russia don't want him to testify. He blows away their....,Wed May 31 10:37:42 +0000 2017,11633,,43034,FALSE
Twitter for iPhone,8.70E+17,"Who can figure out the true meaning of ""covfefe"" ???  Enjoy!",Wed May 31 10:09:22 +0000 2017,63961,,147537,FALSE
Twitter for iPhone,8.70E+17,Despite the constant negative press covfefe,Wed May 31 04:06:25 +0000 2017,127507,,162788,FALSE
Twitter for iPhone,8.70E+17,RT @foxandfriends: Jared Kushner didn't suggest Russian communications channel in meeting source says https://t.co/nF6bM1FEt1,Tue May 30 14:01:16 +0000 2017,6964,,0,TRUE
Twitter for iPhone,8.70E+17,RT @Scavino45: President Trump pays respects and  delivers #MemorialDay remarks at Arlington National Cemetery. https://t.co/D5rl948J6u,Tue May 30 14:00:50 +0000 2017,5737,,0,TRUE
Twitter for iPhone,8.70E+17,The U.S. Senate should switch to 51 votes immediately and get Healthcare and TAX CUTS approved fast and easy. Dems would do it no doubt!,Tue May 30 13:59:28 +0000 2017,18776,,70868,FALSE
Twitter for iPhone,8.70E+17,Russian officials must be laughing at the U.S. &amp; how a lame excuse for why the Dems lost the election has taken over the Fake News.,Tue May 30 11:04:48 +0000 2017,21088,,80623,FALSE
Twitter for iPhone,8.70E+17,We have a MASSIVE trade deficit with Germany plus they pay FAR LESS than they should on NATO &amp; military. Very bad for U.S. This will change,Tue May 30 10:40:36 +0000 2017,21769,,83180,FALSE
Twitter for iPhone,8.69E+17,I look forward to paying my respects to our brave men and women on this Memorial Day at Arlington National Cemetery later this morning.,Mon May 29 12:36:37 +0000 2017,14967,,88770,FALSE
Twitter for iPhone,8.69E+17,Today we remember the men and women who made the ultimate sacrifice in serving. Thank you God bless your families &amp; God bless the USA!,Mon May 29 12:35:34 +0000 2017,36423,,145341,FALSE
Twitter for iPhone,8.69E+17,North Korea has shown great disrespect for their neighbor China by shooting off yet another ballistic missile...but China is trying hard!,Mon May 29 12:18:52 +0000 2017,12316,,62138,FALSE
Twitter for iPhone,8.69E+17,Honoring the men and women who made the ultimate sacrifice in service to America. Home of the free because of the brave. #MemorialDay????,Mon May 29 12:11:59 +0000 2017,26590,,102123,FALSE
Twitter for iPhone,8.69E+17,The Fake News Media works hard at disparaging &amp; demeaning my use of social media because they don't want America to hear the real story!,Mon May 29 00:20:11 +0000 2017,29027,,111002,FALSE
Twitter for iPhone,8.69E+17,The massive TAX CUTS/REFORM that I have submitted is moving along in the process very well actually ahead of schedule. Big benefits to all!,Mon May 29 00:07:01 +0000 2017,15625,,72781,FALSE
Twitter for iPhone,8.69E+17,I suggest that we add more dollars to Healthcare and make it the best anywhere. ObamaCare is dead - the Republicans will do much better!,Sun May 28 23:57:19 +0000 2017,13483,,67620,FALSE
Twitter for iPhone,8.69E+17,British Prime Minister May was very angry that the info the U.K. gave to U.S. about Manchester was leaked. Gave me full details!,Sun May 28 14:43:53 +0000 2017,16603,,68184,FALSE
Twitter for iPhone,8.69E+17,Does anyone notice how the Montana Congressional race was such a big deal to Dems &amp; Fake News until the Republican won? V was poorly covered,Sun May 28 12:45:45 +0000 2017,14690,,68389,FALSE
Twitter for iPhone,8.69E+17,....it is very possible that those sources don't exist but are made up by fake news writers. #FakeNews is the enemy!,Sun May 28 12:45:16 +0000 2017,13048,25073877,57680,FALSE
Twitter for iPhone,8.69E+17,Does anyone notice how the Montana Congressional race was such a big deal to Dems &amp; Fake News until the Republican won? V was poorly covered,Sun May 28 12:40:33 +0000 2017,848,,3463,FALSE
Twitter for iPhone,8.69E+17,....it is very possible that those sources don't exsist but are made up by fake news writers. #FakeNews is the enemy!,Sun May 28 12:35:29 +0000 2017,1502,25073877,5484,FALSE
Twitter for iPhone,8.69E+17,Whenever you see the words 'sources say' in the fake news media and they don't mention names....,Sun May 28 12:34:44 +0000 2017,18923,,76018,FALSE
Twitter for iPhone,8.69E+17,It is my opinion that many of the leaks coming out of the White House are fabricated lies made up by the #FakeNews media.,Sun May 28 12:33:03 +0000 2017,17349,,70103,FALSE
Twitter for iPhone,8.69E+17,Just returned from Europe. Trip was a great success for America. Hard work but big results!,Sun May 28 12:10:43 +0000 2017,14161,,80546,FALSE
Twitter for iPhone,8.69E+17,Big win in Montana for Republicans!,Sun May 28 12:02:05 +0000 2017,9608,,62047,FALSE
Twitter for iPhone,8.69E+17,Big win in Montana for Republicans! We,Sun May 28 11:57:20 +0000 2017,428,,1878,FALSE
Twitter for iPhone,8.69E+17,Just arrived in Italy after having a very successful NATO meeting in Brussels. Told other nations they must pay more not fair to  U.S.,Sun May 28 11:57:20 +0000 2017,416,,1889,FALSE
Twitter for iPhone,8.69E+17,Bringing hundreds of billions of dollars back to the U.S.A. from the Middle East - which will mean JOBS JOBS JOBS!,Sat May 27 17:19:37 +0000 2017,24526,,90236,FALSE
Twitter for iPhone,8.69E+17,I look forward to reading the @CommerceGov 232 analysis of steel and aluminum- to be released in June. Will take major action if necessary.,Sat May 27 16:22:01 +0000 2017,7727,,41321,FALSE
Twitter for iPhone,8.69E+17,"....""we push for the removal of all trade-distorting practices....to foster a truly level playing field.""",Sat May 27 16:17:30 +0000 2017,7318,25073877,39936,FALSE
Twitter for iPhone,8.69E+17,Just left the #G7Summit. Had great meetings on everything especially on trade where....,Sat May 27 16:16:47 +0000 2017,7950,,45298,FALSE
Twitter for iPhone,8.68E+17,I will make my final decision on the Paris Accord next week!,Sat May 27 12:17:51 +0000 2017,10425,,52728,FALSE
Twitter for iPhone,8.68E+17,Many NATO countries have agreed to step up payments considerably as they should. Money is beginning to pour in- NATO will be much stronger.,Sat May 27 10:03:12 +0000 2017,16460,,74870,FALSE
Twitter for iPhone,8.68E+17,Big G7 meetings today. Lots of very important matters under discussion. First on the list of course is terrorism. #G7Taormina,Sat May 27 09:58:37 +0000 2017,9415,,49748,FALSE
Twitter for iPhone,8.68E+17,On behalf of @FLOTUS Melania and myself thank you for a wonderful dinner and evening President Sergio Mattarella.… https://t.co/EhvWgjkRrY,Fri May 26 20:39:51 +0000 2017,11799,,61036,FALSE
Twitter for iPhone,8.68E+17,Terrorists are engaged in a war against civilization- it is up to all who value life to confront &amp; defeat this evil??https://t.co/haeuvCIF6I,Fri May 26 20:26:55 +0000 2017,20101,,73200,FALSE
Twitter for iPhone,8.68E+17,Getting ready to engage G7 leaders on many issues including economic growth terrorism and security.,Fri May 26 10:14:12 +0000 2017,11269,,62342,FALSE
Twitter for iPhone,8.68E+17,Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.,Fri May 26 10:13:41 +0000 2017,13712,,71432,FALSE
Twitter for iPhone,8.68E+17,Just arrived in Taormina with @FLOTUS Melania. #G7Summit #USA???? https://t.co/l7aXolKBiK,Thu May 25 22:44:57 +0000 2017,9773,,53755,FALSE
Twitter for iPhone,8.68E+17,Thank you for your support. Together we will MAKE AMERICA SAFE AND GREAT AGAIN!#POTUSAbroad #USA???? https://t.co/42vCwr5GkA,Thu May 25 20:06:09 +0000 2017,16632,,72110,FALSE
Twitter Ads,8.68E+17,Today's ceremony is a day for both remembrance and resolve.#NATOMeeting #NATO https://t.co/YNZV3bTekB,Thu May 25 17:54:17 +0000 2017,11299,,49642,FALSE
Twitter for iPhone,8.68E+17,RT @FLOTUS: Thank u to Queen Fabiola University Hospital! Enjoyed creating paper flowers with amazing patients &amp; getting a tour. #Brussels…,Thu May 25 14:33:51 +0000 2017,9713,,0,TRUE
Twitter for iPhone,8.67E+17,Thank you for the warm welcome to Brussels Belgium this afternoon! https://t.co/1AvYSameD4,Wed May 24 20:11:18 +0000 2017,10920,,57156,FALSE
Twitter for iPhone,8.67E+17,Honor of a lifetime to meet His Holiness Pope Francis. I leave the Vatican more determined than ever to pursue PEAC… https://t.co/Jhe7SROaxD,Wed May 24 12:20:07 +0000 2017,25142,,109819,FALSE
Twitter for iPhone,8.67E+17,All civilized nations must join together to protect human life and the sacred right of our citizens to live in safety and in peace.,Tue May 23 15:58:37 +0000 2017,30120,,120371,FALSE
Twitter for iPhone,8.67E+17,Israel Saudi Arabia and the Middle East were great. Trying hard for PEACE. Doing well. Heading to Vatican &amp; Pope then #G7 and #NATO.,Tue May 23 15:47:21 +0000 2017,12717,,67299,FALSE
Twitter for iPhone,8.67E+17,Thank you for such a wonderful and unforgettable visit Prime Minister @Netanyahu and @PresidentRuvi.,Tue May 23 15:43:16 +0000 2017,9741,,60493,FALSE
Twitter for iPhone,8.67E+17,We stand in absolute solidarity with the people of the United Kingdom. https://t.co/X6fUUxxYXE,Tue May 23 12:04:48 +0000 2017,34354,,141760,FALSE
Twitter for iPhone,8.67E+17,Prime Minister @Netanyahu and @PresidentRuvi- on behalf of @FLOTUS Melania and myself thank you for the invitation… https://t.co/Z5YCpaRV6t,Mon May 22 20:14:46 +0000 2017,13584,,66501,FALSE
Twitter for iPhone,8.67E+17,RT @netanyahu: Ever Stronger????? ???????????? https://t.co/Ecf5p4HjfZ,Mon May 22 13:13:48 +0000 2017,20775,,0,TRUE
Twitter for iPhone,8.66E+17,#RiyadhSummit #POTUSAbroad???? https://t.co/WdDEOiV6oS,Sun May 21 21:51:53 +0000 2017,18101,,62105,FALSE
Twitter for iPhone,8.66E+17,Speech transcript at Arab Islamic American Summit ??https://t.co/eUWxJXJxbeReplay ??https://t.co/VtmlSqciXx#RiyadhSummit #POTUSAbroad,Sun May 21 16:47:25 +0000 2017,11482,,43032,FALSE
Twitter for iPhone,8.66E+17,RT @FLOTUS: I had a wonderful time with the students at the American International School #Riyadh today. #SaudiaArabia https://t.co/AVzVV0W…,Sun May 21 11:15:30 +0000 2017,19203,,0,TRUE
Twitter for iPhone,8.66E+17,Thank you to the BRAVE servicemen &amp; women who have served and continue to serve the United States- our true HEROES… https://t.co/ZTV9F639xM,Sat May 20 15:50:29 +0000 2017,19467,,78837,FALSE
Twitter for iPhone,8.66E+17,Great to be in Riyadh Saudi Arabia. Looking forward to the afternoon and evening ahead. #POTUSAbroad https://t.co/JJOra0KfyR,Sat May 20 09:44:31 +0000 2017,98578,,104491,FALSE
Twitter for iPhone,8.66E+17,#WeeklyAddress??????https://t.co/UYEhgch4Hl https://t.co/HIQoFuc5cy,Fri May 19 22:16:06 +0000 2017,7410,,35911,FALSE
Twitter for iPhone,8.66E+17,Getting ready for my big foreign trip. Will be strongly protecting American interests - that's what I like to do!,Fri May 19 14:24:08 +0000 2017,20581,,108448,FALSE
